typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
"C","A","20180101","2018","52","2018","36","AUS","Australia","X","Export","76","BRA","Brazil","0","W00","World","H5","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false",,"1040678539.26","1040678539.26","4","false","true",
"C","A","20180101","2018","52","2018","36","AUS","Australia","X","Export","124","CAN","Canada","0","W00","World","H5","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false",,"815468345.641","815468345.641","4","false","true",
"C","A","20180101","2018","52","2018","36","AUS","Australia","X","Export","156","CHN","China","0","W00","World","H5","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false",,"74742943916.638","74742943916.638","4","false","true",
"C","A","20180101","2018","52","2018","36","AUS","Australia","X","Export","251","FRA","France","0","W00","World","H5","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false",,"988826176.435","988826176.435","4","false","true",
"C","A","20180101","2018","52","2018","36","AUS","Australia","X","Export","276","DEU","Germany","0","W00","World","H5","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false",,"1640701251.39","1640701251.39","4","false","true",
"C","A","20180101","2018","52","2018","36","AUS","Australia","X","Export","360","IDN","Indonesia","0","W00","World","H5","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false",,"4375048966.307","4375048966.307","4","false","true",
"C","A","20180101","2018","52","2018","36","AUS","Australia","X","Export","380","ITA","Italy","0","W00","World","H5","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false",,"619978396.762","619978396.762","4","false","true",
"C","A","20180101","2018","52","2018","36","AUS","Australia","X","Export","392","JPN","Japan","0","W00","World","H5","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false",,"26582378937.113","26582378937.113","4","false","true",
"C","A","20180101","2018","52","2018","36","AUS","Australia","X","Export","410","KOR","Rep. of Korea","0","W00","World","H5","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false",,"13963974612.404","13963974612.404","4","false","true",
"C","A","20180101","2018","52","2018","36","AUS","Australia","X","Export","484","MEX","Mexico","0","W00","World","H5","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false",,"140961662.221","140961662.221","4","false","true",
